subID,group,manipulation,time,n_entries
318,long_training_parallel_manipulations,still_valued_week1,pre,5
318,long_training_parallel_manipulations,still_valued_week1,post,9
319,long_training_parallel_manipulations,devaluation,pre,5
319,long_training_parallel_manipulations,devaluation,post,5
319,long_training_parallel_manipulations,still_valued,pre,6
319,long_training_parallel_manipulations,still_valued,post,1
319,long_training_parallel_manipulations,still_valued_post_deval,pre,5
319,long_training_parallel_manipulations,still_valued_post_deval,post,2
319,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
319,long_training_parallel_manipulations,still_valued_post_deval_week1,post,22
319,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
319,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,154
319,long_training_parallel_manipulations,still_valued_week1,pre,5
319,long_training_parallel_manipulations,still_valued_week1,post,267
321,long_training_parallel_manipulations,devaluation,pre,5
321,long_training_parallel_manipulations,devaluation,post,9
321,long_training_parallel_manipulations,still_valued,pre,5
321,long_training_parallel_manipulations,still_valued,post,13
321,long_training_parallel_manipulations,still_valued_post_deval,pre,6
321,long_training_parallel_manipulations,still_valued_post_deval,post,31
321,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
321,long_training_parallel_manipulations,still_valued_post_deval_week1,post,72
321,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
321,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,36
321,long_training_parallel_manipulations,still_valued_week1,pre,5
321,long_training_parallel_manipulations,still_valued_week1,post,49
325,long_training_parallel_manipulations,devaluation,pre,5
325,long_training_parallel_manipulations,devaluation,post,0
325,long_training_parallel_manipulations,still_valued,pre,5
325,long_training_parallel_manipulations,still_valued,post,13
325,long_training_parallel_manipulations,still_valued_post_deval,pre,5
325,long_training_parallel_manipulations,still_valued_post_deval,post,1
325,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
325,long_training_parallel_manipulations,still_valued_post_deval_week1,post,36
325,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
325,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,68
325,long_training_parallel_manipulations,still_valued_week1,pre,5
325,long_training_parallel_manipulations,still_valued_week1,post,24
326,long_training_parallel_manipulations,devaluation,pre,5
326,long_training_parallel_manipulations,devaluation,post,1
326,long_training_parallel_manipulations,still_valued,pre,5
326,long_training_parallel_manipulations,still_valued,post,10
326,long_training_parallel_manipulations,still_valued_post_deval,pre,6
326,long_training_parallel_manipulations,still_valued_post_deval,post,2
326,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
326,long_training_parallel_manipulations,still_valued_post_deval_week1,post,48
326,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
326,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,22
326,long_training_parallel_manipulations,still_valued_week1,pre,5
326,long_training_parallel_manipulations,still_valued_week1,post,91
327,long_training_parallel_manipulations,devaluation,pre,5
327,long_training_parallel_manipulations,devaluation,post,24
327,long_training_parallel_manipulations,still_valued,pre,5
327,long_training_parallel_manipulations,still_valued,post,9
327,long_training_parallel_manipulations,still_valued_post_deval,pre,5
327,long_training_parallel_manipulations,still_valued_post_deval,post,7
